step,epoch,training_loss,validation_loss
1,0.004,1.121168613433838,
10,0.04,1.1695391337076824,
20,0.08,1.0779115676879882,
30,0.12,0.8959158897399903,
40,0.16,0.7323671340942383,
50,0.2,0.6670296669006348,
60,0.24,0.5950349807739258,
70,0.28,0.5501714229583741,
80,0.32,0.49862895011901853,
90,0.36,0.4470819473266602,
100,0.4,0.4132707595825195,
110,0.44,0.3797802686691284,
120,0.48,0.3394551038742065,
130,0.52,0.3047978639602661,
140,0.56,0.27361292839050294,
150,0.6,0.2365445613861084,
160,0.64,0.21902203559875488,
170,0.68,0.18596110343933106,
180,0.72,0.16987460851669312,
190,0.76,0.15286918878555297,
200,0.8,0.14080612659454345,
210,0.84,0.1292586088180542,
220,0.88,0.11908614635467529,
230,0.92,0.1132396936416626,
240,0.96,0.1071292519569397,
250,1.0,0.09709264636039734,
